Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2018-08-21 16:34:33.363000,4405.48387097,0,4394.51612903,0,4526.4516129,0,4345.16129032,0,4386.4516129,0,4431.29032258,0,4274.51612903,0,4270.0,0,4110.32258065,0,4992.58064516,0,4200.0,0,4779.35483871,0,4833.5483871,0,4436.77419355,0,0,0,?
2018-08-21 16:34:33.373000,4436.77419355,0,4394.19354839,0,4546.12903226,0,4298.06451613,0,4394.19354839,0,4460.0,0,4245.16129032,0,4264.19354839,0,4147.74193548,0,5017.09677419,0,4243.5483871,0,4820.64516129,0,4850.0,0,4414.51612903,0,0,0,?
2018-08-21 16:34:33.379000,4483.87096774,0,4473.5483871,0,4609.03225806,0,4343.22580645,0,4443.5483871,0,4521.29032258,0,4271.29032258,0,4269.35483871,0,4258.38709677,0,5067.09677419,0,4244.19354839,0,4876.77419355,0,4970.64516129,0,4482.25806452,0,0,0,?
2018-08-21 16:34:33.389000,4584.51612903,0,4591.93548387,0,4685.80645161,0,4373.87096774,0,4480.96774194,0,4591.93548387,0,4318.38709677,0,4247.74193548,0,4443.87096774,0,5102.58064516,0,4283.87096774,0,4931.93548387,0,5068.38709677,0,4542.90322581,0,0,0,?
2018-08-21 16:34:33.393000,4524.19354839,0,4498.06451613,0,4614.51612903,0,4219.67741935,0,4390.32258065,0,4503.87096774,0,4290.64516129,0,4230.96774194,0,4314.83870968,0,4965.16129032,0,4255.48387097,0,4841.61290323,0,4984.19354839,0,4464.19354839,0,0,0,?
2018-08-21 16:34:33.404000,4531.29032258,0,4502.58064516,0,4619.35483871,0,4161.61290323,0,4414.51612903,0,4524.19354839,0,4269.35483871,0,4232.90322581,0,4295.80645161,0,4905.80645161,0,4254.51612903,0,4854.83870968,0,5011.29032258,0,4471.93548387,0,0,0,?
2018-08-21 16:34:33.410000,4518.70967742,0,4487.09677419,0,4622.90322581,0,4101.61290323,0,4435.16129032,0,4515.80645161,0,4263.22580645,0,4272.25806452,0,4356.77419355,0,4849.67741935,0,4292.25806452,0,4834.51612903,0,5060.0,0,4485.48387097,0,0,0,?
2018-08-21 16:34:33.420000,4484.51612903,0,4524.19354839,0,4619.67741935,0,4100.96774194,0,4464.19354839,0,4504.51612903,0,4323.5483871,0,4243.22580645,0,4390.0,0,4859.03225806,0,4290.64516129,0,4807.41935484,0,5073.22580645,0,4505.80645161,0,0,0,?
2018-08-21 16:34:33.425000,4580.0,0,4583.22580645,0,4715.16129032,0,4200.32258065,0,4499.35483871,0,4604.51612903,0,4329.35483871,0,4259.67741935,0,4533.5483871,0,4947.41935484,0,4280.32258065,0,4891.61290323,0,5134.19354839,0,4552.90322581,0,0,0,?
2018-08-21 16:34:33.437000,4501.29032258,0,4481.61290323,0,4611.61290323,0,4187.41935484,0,4413.87096774,0,4505.16129032,0,4288.38709677,0,4231.29032258,0,4456.4516129,0,4815.80645161,0,4307.41935484,0,4758.70967742,0,5068.38709677,0,4458.06451613,0,0,0,?
2018-08-21 16:34:33.442000,4425.80645161,0,4416.77419355,0,4555.48387097,0,4141.93548387,0,4409.03225806,0,4437.09677419,0,4278.06451613,0,4244.19354839,0,4463.87096774,0,4778.38709677,0,4247.09677419,0,4712.58064516,0,5027.09677419,0,4420.0,0,0,0,?
2018-08-21 16:34:33.451000,4429.03225806,0,4432.58064516,0,4568.70967742,0,4205.80645161,0,4400.64516129,0,4458.06451613,0,4301.29032258,0,4267.09677419,0,4511.93548387,0,4785.48387097,0,4284.51612903,0,4728.70967742,0,5058.06451613,0,4431.29032258,0,0,0,?
2018-08-21 16:34:33.456000,4456.12903226,0,4466.12903226,0,4593.5483871,0,4255.16129032,0,4441.61290323,0,4493.22580645,0,4268.06451613,0,4247.09677419,0,4572.90322581,0,4834.83870968,0,4259.67741935,0,4772.25806452,0,5106.77419355,0,4488.06451613,0,0,0,?
2018-08-21 16:34:33.468000,4525.16129032,0,4546.4516129,0,4674.83870968,0,4201.61290323,0,4449.67741935,0,4539.03225806,0,4340.32258065,0,4260.96774194,0,4618.06451613,0,4897.41935484,0,4290.0,0,4841.61290323,0,5172.25806452,0,4513.5483871,0,0,0,?
2018-08-21 16:34:33.473000,4502.90322581,0,4512.90322581,0,4650.64516129,0,4080.64516129,0,4440.32258065,0,4511.93548387,0,4307.74193548,0,4249.03225806,0,4661.29032258,0,4941.29032258,0,4280.96774194,0,4822.58064516,0,5156.4516129,0,4512.58064516,0,0,0,?
2018-08-21 16:34:33.481000,4486.77419355,0,4506.77419355,0,4640.64516129,0,4044.83870968,0,4460.0,0,4518.70967742,0,4284.51612903,0,4260.0,0,4614.19354839,0,4945.16129032,0,4262.25806452,0,4786.4516129,0,5133.5483871,0,4456.12903226,0,0,0,?
2018-08-21 16:34:33.487000,4483.87096774,0,4495.48387097,0,4601.29032258,0,4009.03225806,0,4430.96774194,0,4499.67741935,0,4284.19354839,0,4253.22580645,0,4693.5483871,0,4910.64516129,0,4250.64516129,0,4711.29032258,0,5152.58064516,0,4453.5483871,0,0,0,?
2018-08-21 16:34:33.500000,4468.06451613,0,4463.87096774,0,4613.22580645,0,4040.0,0,4409.67741935,0,4478.38709677,0,4286.4516129,0,4275.16129032,0,4777.74193548,0,4893.5483871,0,4260.64516129,0,4711.29032258,0,5146.4516129,0,4444.83870968,0,0,0,?
2018-08-21 16:34:33.505000,4563.87096774,0,4546.4516129,0,4682.90322581,0,4126.77419355,0,4476.4516129,0,4550.32258065,0,4298.70967742,0,4263.87096774,0,4885.80645161,0,4941.29032258,0,4297.74193548,0,4754.19354839,0,5229.03225806,0,4517.09677419,0,0,0,?
2018-08-21 16:34:33.515000,4496.77419355,0,4510.96774194,0,4652.25806452,0,4154.19354839,0,4475.48387097,0,4550.32258065,0,4313.5483871,0,4274.83870968,0,4835.48387097,0,4870.32258065,0,4258.38709677,0,4750.64516129,0,5243.5483871,0,4519.03225806,0,0,0,?
2018-08-21 16:34:33.519000,4497.74193548,0,4503.5483871,0,4694.51612903,0,4258.38709677,0,4463.22580645,0,4548.38709677,0,4328.38709677,0,4264.83870968,0,4776.12903226,0,4838.70967742,0,4293.22580645,0,4820.64516129,0,5235.80645161,0,4512.58064516,0,0,0,?
2018-08-21 16:34:33.531000,4542.25806452,0,4521.61290323,0,4707.09677419,0,4342.58064516,0,4474.83870968,0,4516.12903226,0,4320.64516129,0,4248.70967742,0,4880.0,0,4830.64516129,0,4266.12903226,0,4818.38709677,0,5201.61290323,0,4492.25806452,0,0,0,?
2018-08-21 16:34:33.537000,4442.90322581,0,4427.74193548,0,4626.77419355,0,4252.25806452,0,4440.0,0,4423.22580645,0,4236.4516129,0,4225.48387097,0,4817.41935484,0,4714.51612903,0,4262.90322581,0,4722.25806452,0,5132.58064516,0,4441.29032258,0,0,0,?
2018-08-21 16:34:33.547000,4423.5483871,0,4394.83870968,0,4609.35483871,0,4236.4516129,0,4429.35483871,0,4433.87096774,0,4267.09677419,0,4250.32258065,0,4856.77419355,0,4773.22580645,0,4243.22580645,0,4766.4516129,0,5120.64516129,0,4439.03225806,0,0,0,?
2018-08-21 16:34:33.551000,4442.90322581,0,4420.0,0,4613.87096774,0,4203.22580645,0,4464.19354839,0,4461.93548387,0,4280.0,0,4238.38709677,0,4866.4516129,0,4791.93548387,0,4283.22580645,0,4758.70967742,0,5101.93548387,0,4465.80645161,0,0,0,?
2018-08-21 16:34:33.564000,4454.19354839,0,4419.35483871,0,4605.80645161,0,4156.12903226,0,4466.4516129,0,4488.38709677,0,4288.70967742,0,4248.06451613,0,4891.93548387,0,4818.06451613,0,4270.0,0,4766.12903226,0,5133.22580645,0,4419.67741935,0,0,0,?
