A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK
0.124293424,0.056135034,0.001270382,0.914226086,0.139223215,0.077656144,0.159104659,0.178314421,0.004933657,1.096054941,0.154797411,0.10653772,0.119821706,0.135577362,0.003489429,0.697037388,0.107291418,0.087030543,0.208729303,0.41055842,8.70E-06,1.498507175,0.267995089,0.106804378,0.138548239,0.063159757,0.011662874,0.699326236,0.114345383,0.101287079,0.126304909,0.179655711,0.005241605,0.724287975,0.128343684,0.074030725,4
0.142649998,0.162238782,8.10E-07,1.065213994,0.180003826,0.079762251,0.124970843,0.200272381,2.27E-07,0.857702367,0.139162773,0.074278157,0.162083329,0.050308246,7.07E-07,1.30315637,0.208145729,0.080515746,0.16455147,0.088872381,4.22E-07,1.004296238,0.183940365,0.091800435,0.211007491,0.024366631,1.46E-06,1.259596651,0.238674581,0.118371368,0.180767361,0.28964021,3.44E-07,1.149574078,0.198618063,0.109601255,0
0.127255616,0.192853751,3.13E-06,1.183368131,0.15268703,0.075349028,0.325185348,0.630042782,3.11E-05,1.425831464,0.310362301,0.208619856,0.14629841,0.133567817,4.69E-06,1.214468788,0.179365468,0.079838228,0.227393994,0.324295851,6.61E-06,1.266208321,0.220881629,0.149618323,0.137903829,0.139082161,1.50E-06,1.269455237,0.166242722,0.078809102,0.200702966,0.095915157,1.48E-05,1.392271267,0.234963459,0.112686002,1
0.240030177,0.740374073,8.14E-06,1.429242647,0.269075454,0.14285723,0.415531153,0.138255937,4.46E-05,3.01613856,0.514518169,0.203845729,0.70868913,1.219567876,3.02E-05,3.934119201,0.766758917,0.363666857,0.230549996,0.072169131,2.21E-06,1.848235036,0.273052551,0.120229098,0.145101915,0.094883857,1.74E-05,0.910086151,0.148556683,0.09918667,0.790049818,0.27983491,7.99E-05,4.182231266,0.799311785,0.449130597,2
0.286469146,0.552229791,3.73E-06,1.736382765,0.318893935,0.177425592,0.230223364,0.25317654,2.08E-06,1.791925379,0.24368558,0.146412307,0.662597326,0.0715259,1.07E-05,4.451735208,0.74990649,0.374002746,1.026088836,0.611059211,4.51E-05,6.277660308,1.274543802,0.408495415,0.216792946,0.340191391,1.95E-06,1.570886825,0.244225717,0.125084306,1.084295283,2.013963866,8.42E-06,5.858904252,1.097582499,0.719335697,3
0.135998477,0.148642388,3.69E-06,0.774364213,0.154536752,0.082060222,0.121047967,0.124090065,0.000558578,0.631382214,0.126039309,0.073148442,0.135331375,0.085449474,2.09E-07,0.869809222,0.159606523,0.07920074,0.114357024,0.081419351,2.37E-06,0.832251211,0.126050047,0.071923459,0.142313673,0.098640766,7.69E-08,1.020953318,0.176119717,0.070029095,0.095245635,0.066512107,0.000170394,0.693167808,0.095976572,0.063916902,4
0.137555255,0.062702954,0.002435617,0.81651632,0.12330972,0.09660643,0.118877741,0.079843325,8.38E-05,0.736891754,0.124524507,0.079488701,0.130649127,0.093630605,1.51E-07,0.892282033,0.159424864,0.074441506,0.130293601,0.192585583,0.001578793,0.62852955,0.104016093,0.093483645,0.154834599,0.091758515,0.003771543,1.002080978,0.146823399,0.099032613,0.13107091,0.026990072,0.00145283,0.828152204,0.128957299,0.082254127,0
0.161932906,0.065104925,0.001993903,0.931386222,0.165390434,0.100852912,1.14003331,0.502925686,0.001356102,9.93702233,1.401244943,0.709537665,0.174308741,0.023770562,6.33E-06,1.01916767,0.167958007,0.11568656,0.273934677,0.250112252,5.31E-06,1.324844642,0.283325181,0.178817094,0.172133322,0.082662369,0.004853073,1.258033253,0.160643934,0.115474229,0.611202368,0.237377812,4.75E-05,5.41087734,0.779049985,0.33860061,1
1.131907224,2.228346661,3.63E-05,6.179610233,1.254384282,0.595219018,0.495204795,0.10627511,0.004517391,2.323581515,0.484821402,0.294067018,0.699364612,1.175991726,0.011447974,3.630922579,0.696451935,0.441892105,0.180247661,0.137327521,0.003492109,0.958220925,0.163372806,0.122690745,0.376596581,0.288756288,5.37E-06,2.397136108,0.427135503,0.211084032,0.448679408,1.610961931,5.68E-05,3.250631601,0.524947478,0.222635896,2
0.863534885,1.545157699,0.003406501,5.025191556,0.861043697,0.507154495,1.715475484,3.343124671,0.030116491,9.345563904,1.699592808,0.908461034,0.494774371,0.37010502,0.009420937,3.445076748,0.525674767,0.287713327,0.576470087,0.744406677,0.002581705,4.040755365,0.629934143,0.331345343,0.209417037,0.100273763,1.53E-05,1.385780505,0.225524989,0.137745594,1.06426124,0.981574015,0.015876048,7.511694046,1.28889035,0.568547501,3
0.157309267,0.075751696,0.007790536,1.039623774,0.152696811,0.107723264,0.115050466,0.063343249,0.006016599,0.721916766,0.102582318,0.083461614,0.139538783,0.222385159,6.07E-06,1.019280825,0.160798501,0.086148544,0.124523368,0.127291147,0.001575659,0.667686159,0.118261908,0.082643717,0.147581267,0.212810571,1.70E-05,1.312267253,0.160856324,0.088040804,0.07662842,0.033812337,3.44E-07,0.428823123,0.08644047,0.047168554,4
0.159074041,0.161251755,0.004640097,1.285081488,0.17868003,0.096136602,0.131317215,0.130302382,0.00284663,0.936856226,0.139767339,0.087027739,0.107586182,0.043306243,1.10E-06,0.729208572,0.132171939,0.05677762,0.163110732,0.571819551,2.62E-06,1.688167058,0.18461486,0.105351815,0.171866342,0.199085152,1.98E-06,1.744596965,0.192927838,0.09288445,0.161455263,0.012373225,2.99E-06,1.389956756,0.183708718,0.091508391,0
0.163545066,0.198560527,0.00351897,0.920532253,0.137018354,0.122749944,0.184667963,0.235635445,0.001268738,1.110494932,0.166439609,0.128636463,0.129112481,0.073212951,0.00221458,0.637147441,0.11550204,0.090139044,0.189728398,0.067249823,0.0023453,1.071152237,0.17888649,0.128125429,0.201871964,0.021235992,0.002249872,1.249216117,0.207481257,0.124827324,0.199574474,0.252260936,0.002999264,1.252458257,0.181564654,0.142204311,0
0.155491992,0.252036382,9.45E-07,0.979175948,0.178923215,0.091491846,0.138886527,0.231112372,1.19E-08,0.850552756,0.150478031,0.08967209,0.043485012,0.057373564,8.61E-07,0.301000187,0.052364977,0.023586775,0.204566433,0.217057302,7.90E-07,1.130015028,0.208873825,0.13403132,0.208390168,0.090500738,1.50E-06,1.333938113,0.220400399,0.136920922,0.166846219,0.078749653,2.36E-06,0.888830718,0.170191263,0.102361001,1
0.169776279,0.170557981,0.004361219,0.802497593,0.143103563,0.120917943,0.15279936,0.103096188,6.42E-07,1.463233805,0.189046255,0.084795375,0.061495387,0.069412096,0.000955807,0.322370836,0.058385667,0.043858269,0.180553986,0.194092279,1.12E-06,1.147676494,0.174630778,0.125632011,0.186321813,0.535645832,1.66E-06,1.172589061,0.187202756,0.134799577,0.162929905,0.343530973,3.14E-06,1.345142885,0.174369468,0.112838743,1
0.204179722,0.252965013,0.001626037,0.956330057,0.186874659,0.148156097,0.162561641,0.128817538,2.32E-07,1.26041991,0.183508639,0.103990245,0.043605763,0.09310749,0.000286368,0.301237382,0.050260284,0.02375917,0.294263352,0.081215394,1.11E-06,1.669354081,0.315847641,0.189521958,0.268514552,0.266029694,9.37E-08,1.717586238,0.278569719,0.179919072,0.212397108,0.259262948,1.58E-06,1.208549522,0.19340227,0.157304956,2
0.182988981,0.03982755,0.004577284,0.892728257,0.151047395,0.131961067,0.182845722,0.257749939,0.004910938,1.032531147,0.167209365,0.12745268,0.050948618,0.021776775,0.000692061,0.326460284,0.04828637,0.033606337,0.32557869,0.921093684,0.012750624,2.159770343,0.348798009,0.193948642,0.255351459,0.856850071,4.38E-07,1.466883087,0.259699093,0.169875662,0.19038117,0.375793998,0.000365919,1.446811759,0.193515911,0.131579204,2
0.215321415,0.283848063,2.94E-06,1.859359027,0.252467123,0.133080263,0.16049895,0.179702317,1.75E-06,1.030680942,0.176499573,0.098365005,0.11532733,0.060634748,0.000437463,0.769836688,0.124778209,0.071163431,0.401201921,0.429200032,5.90E-07,2.585269042,0.433836627,0.246166185,0.519948402,0.509117902,5.30E-07,3.458939071,0.597241437,0.288245085,0.231626749,0.109244579,2.40E-06,1.527292854,0.230099062,0.151974703,3
0.201677597,0.436885222,0.009307909,1.33819645,0.186998319,0.140993455,0.152358219,0.080304986,0.00271391,0.822811555,0.144167806,0.095498024,0.108017837,0.225548428,0.004455672,0.534797886,0.088576115,0.077597383,0.296595927,0.232090135,1.45E-06,3.589244306,0.395805405,0.171561396,0.465757593,0.270043039,0.000963524,6.166140762,0.557107915,0.319953379,0.200287361,0.163687629,0.001642273,1.578583555,0.199933217,0.119878154,3
0.270822751,0.039188472,0.002333051,2.114691692,0.329746334,0.148356804,0.158330522,0.261555121,3.31E-06,0.933485242,0.168327837,0.101340864,0.123124736,0.191479633,2.64E-06,0.7603197,0.132558437,0.078230542,0.754487151,2.375496841,5.33E-06,6.740203627,1.064626509,0.36134783,0.83357726,2.062363651,0.016681618,8.530948917,1.262922198,0.343831976,0.256902141,0.620102921,2.72E-07,1.786418131,0.276054796,0.176002835,4
0.252470404,0.137359348,0.003979053,1.236441618,0.228127288,0.16923433,0.180739452,0.240449166,0.002757858,0.82534153,0.164392656,0.128794935,0.083031243,0.158648865,4.78E-07,0.422575296,0.0866566,0.053910772,0.565846096,1.009804533,0.007914106,3.58240931,0.552928019,0.392389168,0.562284233,1.80463109,2.29E-06,4.380183638,0.74504409,0.272921951,0.228434612,0.42281939,0.012168025,1.206140909,0.195900918,0.160029038,4
0.171340078,0.068529569,2.10E-06,4.918912165,0.384879063,0.080686033,0.133064978,0.018110152,6.42E-07,1.82590767,0.177988291,0.070892253,0.099717206,0.086206551,5.48E-07,1.614187864,0.152288546,0.048309931,0.475341405,2.413587753,7.04E-06,17.66824259,1.219527755,0.173109475,0.472329084,0.435084105,8.93E-06,17.96383152,1.260460718,0.181261656,0.400067776,0.266515989,9.16E-06,13.01697993,0.988483504,0.170723227,0
0.266225822,0.28719392,7.09E-07,2.139219535,0.311082381,0.163120885,0.200041356,0.147074863,0.004974921,1.121697589,0.167832144,0.146017982,0.160690501,0.131919197,0.006774408,1.115143444,0.158019547,0.10547872,0.889136942,0.879081554,5.36E-06,8.367736248,1.355887261,0.347630431,0.979001168,1.93494682,6.95E-06,7.813378783,1.394091724,0.407464336,0.847940668,1.047097791,0.010070298,7.795400554,1.209456223,0.396326167,0
0.280886984,0.576576475,2.90E-06,1.948801446,0.301702847,0.172228834,0.187220153,0.160900264,7.87E-07,1.191640755,0.195223666,0.123359233,0.14409083,0.132927721,1.87E-06,0.976097171,0.166504696,0.084107558,0.860524985,2.286026842,1.42E-06,5.874402285,1.147989136,0.38717421,0.831381577,1.612635987,2.62E-06,5.613881007,1.114605429,0.381145967,0.662878543,1.679608083,2.97E-06,5.870230188,0.92557152,0.25218114,1
0.237316801,0.068132012,0.007514275,0.977581357,0.196519318,0.178832336,0.196573084,0.277717578,0.008032925,0.95715446,0.170607592,0.138045819,0.174490974,0.275549895,0.002006564,0.959593146,0.16392513,0.119443735,1.033059986,0.874355232,0.022900398,10.2265179,1.248303445,0.564098352,1.020984757,0.664030642,0.016985443,11.47611481,1.337667552,0.485717379,0.864770014,1.129516968,0.012709427,6.871117118,1.041175639,0.444812222,1
0.343542314,0.795685456,4.69E-06,3.409224171,0.493522665,0.177434783,0.209609991,0.155744582,4.01E-06,1.093317958,0.227729691,0.13181382,0.118043143,0.117868424,6.19E-06,0.725726343,0.125490728,0.078207806,0.838872746,0.959149616,1.57E-05,8.472926182,1.228253932,0.388663326,0.899811781,0.084377624,3.92E-06,8.965991053,1.346131818,0.409527967,0.660573608,0.264818494,6.10E-06,5.505405426,0.925287391,0.323320028,2
0.344847215,0.608610293,0.003400114,2.201946443,0.373917938,0.220278185,0.218165429,0.094909254,0.006948383,1.25255054,0.192251478,0.147093747,0.153726653,0.079762907,0.007334485,1.251626794,0.170337669,0.097552392,0.974963419,0.932345366,0.016533697,7.89747911,1.205990899,0.521965182,1.005301708,0.610374273,0.044430249,8.150669836,1.184996603,0.596941931,0.724259658,0.504950071,0.014107234,4.267224311,0.801463261,0.433778083,2
0.207387259,0.267359725,7.04E-07,1.632031483,0.220539312,0.132804111,0.168780306,0.041137788,5.59E-07,1.150175506,0.186110324,0.110205315,0.125635471,0.340053769,3.19E-07,1.002967232,0.154926766,0.077086678,0.794327464,4.033114327,4.15E-07,8.233704632,1.160183104,0.383559757,0.768042843,0.503152693,3.42E-06,8.692309222,1.22731705,0.302577959,0.698084296,0.345442414,0.010066966,5.653289693,0.761679974,0.453837423,3
0.282979385,0.271055251,0.007084835,1.66952176,0.26461323,0.19803191,0.234747819,0.233269391,0.003926616,1.348387888,0.217173947,0.157901495,0.101943991,0.005627332,5.55E-09,0.541366081,0.104792526,0.06816685,0.953667975,0.271785481,0.040600352,8.709950254,1.168620741,0.498199759,0.891236215,0.323136088,0.018439654,8.258835782,1.219127549,0.391772746,0.61227625,0.699117157,0.008422451,6.286899291,0.811183117,0.294724278,3
1.474701134,0.244963062,0.009778835,10.84507131,1.896484703,0.767029625,1.831351027,1.241939138,0.047431664,10.06028661,1.426140225,1.420791853,0.358914063,0.092626266,3.45E-06,1.621085214,0.356570615,0.221964726,2.138119564,3.097776458,5.08E-05,11.17121018,2.266614769,1.134060651,2.359615857,5.274415313,2.75E-05,12.5212327,2.533900137,1.340000959,1.814917186,1.124654005,4.31E-05,9.264129154,1.815910073,1.030908664,4
0.719198642,1.729086565,0.05328456,4.464943731,0.659350542,0.499149879,0.993783574,0.880713672,0.033828362,4.856647863,0.901185353,0.639980245,0.247666101,0.104011843,0.005632385,1.217037765,0.216330628,0.182629534,1.310970473,1.492028716,0.012794665,8.779511576,1.35340517,0.805363338,1.238767223,1.94581707,0.034831933,7.455866381,1.227241312,0.795731226,0.760484979,1.561822756,0.017085083,5.140658791,0.763115877,0.490769336,4
0.599039222,1.361893259,8.87E-06,5.073742912,0.783835045,0.288762595,0.39651738,5.49E-06,5.49E-06,3.304955459,0.5015567,0.215050949,0.237628434,0.033419152,0.001826932,1.410476142,0.271434901,0.121624775,0.883465415,1.772722436,0.018756731,6.363367122,1.09304115,0.43148396,0.852006317,0.996742282,1.49E-06,8.545115651,1.254778921,0.35857419,0.736547649,0.449875393,4.96E-06,6.316087816,1.035540863,0.327948345,0
0.727062646,0.9937023,0.008587258,5.877385071,0.893184065,0.396274495,0.441502799,0.526878496,1.52E-05,3.065809246,0.537013768,0.239134568,0.219470126,0.132871541,0.001445739,1.381193264,0.22558306,0.142327255,0.914607721,0.392277148,0.016834773,7.12317227,1.125732617,0.440150605,0.920612692,0.637805245,0.014273625,9.315292388,1.222788324,0.432099928,0.706683991,0.563000669,1.67E-06,7.794949369,0.999257106,0.353261089,0
0.542734658,2.155766752,3.59E-06,8.914354224,0.943254573,0.198679873,0.331700416,0.179411225,4.59E-08,2.654194919,0.413018558,0.17572829,0.214966119,0.205465772,0.002658941,1.329154478,0.229973897,0.130448079,0.838549047,0.05417154,4.55E-05,7.236887367,1.191605682,0.365275417,0.910393308,2.211212888,2.01E-06,8.022558724,1.314805757,0.392640274,0.799684016,2.209947419,5.35E-06,6.513545793,1.079888186,0.357823901,1
0.538905839,0.422931662,0.012149038,3.677437704,0.565809977,0.358465465,0.218074831,0.269170513,0.001775161,1.192189406,0.210836675,0.159234609,0.177971691,0.151685647,0.00530567,0.873167152,0.166521423,0.111570851,0.959606355,0.68710781,0.008732834,8.547529076,1.390958646,0.424657613,0.969528015,0.76874322,0.018971324,10.21304623,1.404823042,0.416514834,0.80803721,1.021463157,0.003279026,9.292244753,1.365917233,0.275219944,1
0.317198981,1.012874432,0.00082019,2.725023901,0.417988831,0.161147887,0.249935324,0.137424903,0.001644755,1.664042255,0.279597738,0.143829104,0.174748942,0.281168819,3.36E-07,1.176453472,0.19839387,0.104205427,0.786245035,1.756572155,4.48E-06,5.074693745,0.999240603,0.387350059,0.800412262,0.063512765,1.67E-06,6.603640472,1.130063236,0.32002205,0.809506341,1.130337281,0.026767257,5.20699973,0.952670367,0.42533863,2
0.351716745,0.090636604,0.005831137,3.251968191,0.476747439,0.182348628,0.24155437,0.31145424,0.001779987,1.505945681,0.253386206,0.144721725,0.213047488,0.06756279,0.001957797,1.186372554,0.192767417,0.152693894,0.900568554,1.114191446,0.010503802,8.984083141,1.174590453,0.474883572,0.815796019,0.513938863,1.33E-06,9.322371523,1.328640629,0.281853411,0.851526795,0.640051687,0.013763036,7.211420603,0.995228935,0.529595247,2
0.190434159,0.26289786,4.08E-07,0.96666852,0.200527789,0.123088881,0.19515809,0.135785608,0.006816573,1.018888634,0.174969127,0.122181976,0.127315834,0.099774215,1.69E-06,0.896785227,0.147902882,0.073556394,0.835845548,0.936669364,1.30E-05,6.767315031,1.166165512,0.392959155,0.872310713,0.594806965,1.78E-05,7.342027675,1.202228913,0.395643751,0.78051633,9.05E-06,9.05E-06,7.728612414,1.188173889,0.31768364,3
0.220516137,0.069728698,0.004921864,1.055735806,0.194196852,0.152231301,0.209272484,0.167791314,0.005224468,1.030319285,0.170793777,0.161141898,0.141827685,0.017439984,2.55E-06,1.233383512,0.168033121,0.080871275,0.847775589,0.318138158,0.013203679,12.1708712,1.201388438,0.375985239,0.84432577,0.244311959,0.018680134,11.15942513,1.072029762,0.49073779,0.937227971,0.729569986,0.037196964,10.4444301,1.269665892,0.566826727,3
0.162618673,0.057091291,1.46E-07,1.220871693,0.185480942,0.100608556,0.166804865,0.101753307,9.25E-07,1.118122141,0.180661734,0.109799755,0.121028247,0.165038974,5.95E-07,0.731723202,0.131912897,0.076830979,0.821846443,0.842864928,7.73E-06,14.76999598,1.568593179,0.295982723,0.887781603,1.457577829,5.39E-06,14.82117685,1.508428664,0.390660057,0.331087889,0.950110735,0.01037042,2.736327061,0.349779535,0.209693179,4
0.185239007,0.096791318,0.000420352,1.186617315,0.184761462,0.111624398,0.17739911,0.328114743,1.08E-05,0.768793223,0.170647502,0.125562127,0.143422002,0.14057699,0.002245723,0.947871315,0.13696839,0.099135453,1.001903941,0.549774349,0.009016488,9.161825945,1.303050974,0.554949813,0.820710035,1.238905543,1.18E-05,10.51809567,1.366818718,0.325776561,0.498987821,0.427362807,1.50E-06,6.281955276,0.793905437,0.240639039,4
0.121396611,0.321356873,3.68E-07,0.828457624,0.141930067,0.065071671,0.122601568,0.160348901,4.23E-06,0.768186801,0.136813477,0.072792169,0.15682239,0.220809978,6.33E-07,0.8668344,0.173260346,0.094543756,0.164910248,0.076574864,5.43E-07,0.791342969,0.164061153,0.118069971,0.15487383,0.266793351,1.02E-06,0.847453744,0.156504902,0.105174248,0.158621777,0.041851991,1.76E-06,0.796790334,0.161316269,0.103564537,0
0.114183337,0.259174904,0.000390403,0.717898646,0.126745662,0.067695617,0.128603406,0.116826676,0.000918379,0.62505858,0.131689704,0.077769511,0.151119854,0.2087261,1.54E-06,0.896059196,0.169473288,0.093788735,0.156427506,0.055020084,4.83E-07,1.089889666,0.18249949,0.08854871,0.138571837,0.194772185,1.30E-06,0.827969349,0.152791124,0.082407702,0.158546173,0.083561658,2.95E-07,0.862060807,0.161961329,0.100507992,0
